,round,agreement_status,fairness,fairness_top_words,cooperativeness,cooperativeness_top_words,manipulativeness,manipulativeness_top_words,conversation_quality,conversation_quality_top_words,ambiguity,ambiguity_top_words,summary,reasoning
0,1,ongoing,4,"imbalanced, asymmetric",6,"flexible, recognition",7,"framing, pressure",7,"structured, clear",3,"specific, detailed","Negotiation ongoing with significant gap between 70/30 and 55/45 equity splits. Business Founder's counter uses capital investment framing to justify majority control and asymmetric vesting, appearing somewhat manipulative. Proposals are clear and structured, but fairness perception suffers from imbalanced vesting terms favoring capital over IP contribution.",
1,2,ongoing,6,"compromise, imbalanced",7,"flexible, trade-offs",5,"framing, justification",8,"structured, clear",3,"specific, detailed","Negotiation remains ongoing with both parties making structured counter-proposals. Good conversation quality with clear terms, moderate cooperativeness shown through flexibility. Fairness concerns persist around equity split. Low ambiguity due to detailed proposals. Some manipulative framing of contributions, but generally constructive dialogue.",
2,3,ongoing,6,"compromise, halfway",7,"flexible, modifications",5,"guarantee, redline",8,"structured, rationale",3,"clear, specific","Negotiation progressing constructively with clear proposals. Both parties showing flexibility while defending core interests. Business Founder moved from 55/45 to 58/42 equity split, meeting Technical Founder partway. Structured decision rights and budget allocations reduce ambiguity. Some manipulative pressure tactics present but overall cooperative tone maintained.",
3,4,ongoing,6,"compromise, recognition",7,"flexible, creative",5,"framing, pressure",8,"structured, detailed",3,"clear, specific","Negotiation remains ongoing with parties converging from 70/30 to 52/48-60/40 range. Both show cooperativeness through creative solutions like performance clauses and hybrid vesting. Clear proposals reduce ambiguity. Moderate manipulativeness through strategic framing of contributions. Fair compromise attempts, though equity gap persists.",
4,5,ongoing,6,"compromise, imbalanced",7,"flexible, structured",5,"anchoring, ultimatums",8,"detailed, professional",3,"clear, specific","Negotiation remains unresolved with parties at 52/48 vs 58/42 equity split. Both demonstrate structured reasoning and flexibility on budget/vesting but hold firm on equity control. Low ambiguity with clear proposals, moderate fairness perception due to competing valuation frameworks, professional tone throughout with some pressure tactics.","Agreement ongoing as no final deal reached. Fairness moderate due to legitimate but competing claims (capital vs IP). Cooperativeness high given multiple counteroffers and flexibility on non-equity terms. Manipulativeness moderate with anchoring tactics and ultimatums present but not excessive. Quality high with detailed, professional exchanges. Ambiguity low with specific numerical proposals throughout."
5,6,ongoing,6,"compromise, imbalanced",7,"flexible, structured",5,"anchoring, reframing",8,"detailed, professional",3,"clear, specific",Negotiation remains unresolved with parties at 50/50 vs 55/45 equity split. Both demonstrate professional engagement with detailed rationales. Moderate fairness due to persistent gap; good cooperation through structured proposals; some anchoring tactics present; high clarity in terms; low ambiguity throughout.,"The dialogue shows professional negotiation with clear positions but no agreement. Both parties make concessions (Technical: 70→55%, Business: 55→50%) demonstrating cooperativeness. Fairness perception is moderate as both feel undervalued. Manipulativeness is present through anchoring and selective framing but not excessive. Conversation quality is high with detailed, structured proposals. Ambiguity is low with specific terms throughout."
6,7,ongoing,4,"imbalanced, undervalued",5,"compromising, positional",6,"framing, revaluation",7,"detailed, structured",3,"clear, specific",Negotiation remains unresolved with parties at 52/48 vs 57/43 equity split. Both demonstrate structured argumentation but employ manipulative framing. Technical founder values past contribution; business founder emphasizes future risk. Low fairness perception due to persistent gap. Moderate cooperation with incremental movement but entrenched positions prevent agreement.,
7,8,ongoing,6,"asymmetry, compromise",7,"protections, mutual",5,"framing, undervaluing",8,"detailed, structured",3,"clear, specific",Negotiation remains unresolved with parties at 52/48 vs 55/45 equity split. Both demonstrate strong argumentation and structured proposals. Moderate fairness due to persistent disagreement on value contributions. Good cooperation through mutual protections and decision rights acceptance. Low manipulation with direct positioning. High quality dialogue with clear terms. Low ambiguity in proposals.,
8,9,ongoing,6,"asymmetry, contribution",7,"compromise, flexibility",5,"framing, overvaluing",8,"detailed, structured",4,"protections, control","Negotiation remains unresolved after 18 exchanges. Both parties demonstrate cooperativeness through incremental compromises but persistently frame their contributions as superior. Technical Founder anchors at 55-58% equity citing IP value; Business Founder counters at 52% emphasizing capital risk and network. Structured proposals with clear terms reduce ambiguity, though control mechanisms remain contested.",
9,10,ongoing,4,"imbalanced, undervalued",5,"compromising, positional",6,"reframing, anchoring",6,"repetitive, detailed",5,"shifting, unclear","Negotiation remains unresolved after 20 exchanges. Both parties repeatedly anchor to incompatible equity positions (52-58% ranges). While detailed proposals show effort, repetitive arguments and mutual accusations of overvaluation create perceived unfairness. Moderate manipulativeness through strategic reframing. Ambiguity persists on true priorities and deal-breakers.",
